lgo_ratio,hgo_ratio,lco_ratio,kero_ratio,biodiesel_ratio,density_15c,n_paraffin_c10_c15,n_paraffin_c16_c20,n_paraffin_c21_plus,aromatic_content,sulfur_ppm,cetane_index,wafi_type,wafi_ppm,season,tank_history_flag,cfpp,cp,pp,target_cfpp,decision,decision_noisy
0.716538224,0.207280341,0.035402385,0.01077905,0.03,839.4848909,9.392940683,10.2735656,2.041491883,23.0480182,7.770523257,52.14131492,B,292.8463631,deep_winter,clean,-23.45581518,-20.01694567,-17.83290179,-23,caution,caution
0.462486175,0.261379973,0.161158318,0.084975533,0.03,847.1693628,8.041638743,8.753535059,1.523554641,28.42674693,9.748306964,47.2253243,C,217.0326293,deep_winter,recent_change,-13.29173779,-10.38994679,-7.431237677,-23,risk,risk
0.569868821,0.299837901,0.054667296,0.045625982,0.03,842.6505128,11.25909936,9.517204796,2.44985847,26.15601814,5.376438785,48.28048607,B,150.1748436,winter,clean,-16.99933623,-14.91056168,-10.33918864,-18,risk,risk
0.665523208,0.267903605,0.006170485,0.030402702,0.03,836.8167017,9.277805442,9.626809518,2.958344976,25.18580801,8.616411636,50.45947838,A,412.5013929,deep_winter,recent_change,-15.41032792,-11.28621777,-6.982942724,-23,risk,risk
0.570457689,0.146155806,0.192054805,0.0613317,0.03,843.5602757,9.187211706,7.860745885,2.152153307,26.86135049,9.675387953,47.54928418,C,397.6645894,deep_winter,clean,-21.2351962,-16.81383743,-15.53177396,-23,risk,risk
0.782492684,0.066062942,0.086407634,0.03503674,0.03,832.7832851,11.30582561,8.802453879,2.12411222,24.05445562,6.976477768,47.89239526,A,295.1157147,deep_winter,mixed,-21.69536445,-19.50300556,-13.37586317,-23,risk,risk
0.679101232,0.080000776,0.133143375,0.077754617,0.03,840.7742879,10.75596067,8.747210896,1.483835493,27.54951107,9.613201392,48.59050857,A,273.4947262,winter,mixed,-21.93251045,-19.520507,-13.96214524,-18,caution,caution
0.578173276,0.189849946,0.191482938,0.01049384,0.03,847.1670819,10.22732157,8.299133959,2.107242529,25.25672309,9.310895899,47.41460467,A,346.0657085,winter,mixed,-12.16207973,-9.893400012,-3.754495187,-18,risk,risk
0.533036971,0.251023831,0.100760656,0.085178542,0.03,839.8914636,9.464100737,9.090978986,1.774913464,23.91519411,8.552185639,47.82726249,C,281.4358338,winter,clean,-21.40668922,-18.2846765,-15.03225545,-18,caution,caution
0.606938252,0.185259051,0.124465896,0.053336801,0.03,843.1264621,10.19240764,8.377922407,2.280295551,27.56936643,6.1734243,49.98878143,C,144.8049556,winter,clean,-15.74523322,-13.10892242,-10.13933245,-18,risk,risk
